,text,name,score,time_ms
764,conferencia de prensa en vivo conjunta entre autoridades de la universidad de la republica udelar el institut pasteur de montevideo ip montevideo y el ministerio de salud publica msp,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,165.304
1563,crico 4 vous vous faites sortir par une masterclass du pecheur de montevideo et c est la verite frerot,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,40.118
741,dmartinez uy levanten la basura de montevideo eso tambien hay que erradicarlo igual que el coronavirus dejate de vender humo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,90.093
1566,postergan maraton de montevideo https t co vhwfidstdl https t co da9hbh46mt,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,33.957
683,picho8086901 patriciajmadrid luislacallepou bueno la intendencia de montevideo montevideoim podria hacer realidad ese sueno de bajar o no cobrar impuestos al menos hasta mitad d ano rebajar las patentes ya que el uso del vehiculo es mucho menor,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,61.687
648,sergiouy125 eso le corresponde a la intendencia de montevideo no al gob nacional,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,87.331
1624,asi la intendencia de montevideo combate el coronavirus no controla y esta empresa saca omnibus para llevar bien lleno https t co pq1ogngryn,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,39.863
1640,hay que salvar la casa de galicia de montevideo https t co 9nzqbawflg via propronews,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,86.173
1776,acaso en la ciudad de montevideo cual oruga muta a mariposa el coronavirus muta a polilla me tiene las de fraile por el sopi ese pequeno ser volador lrcdmh,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,91.018
577,fabiancurti francooverdias jaja como te duele como te duele mira que esto va para largo no va haber vuelta a los vividores ahora hay que meterle se termino la joda de sacarle a la gente del campo a los que creen que el uruguay vive de montevideo van a ver en esta crisis quien saca la cara por el pais,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,235.544
1826,no saben todo lo delicioso que cocina mi abuela todos los dias osea ya me habia acostumbrado a los fideos de montevideo ahora cuando me vuelva a ir voy a volver a sufrir,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,36.829
