,text,name,score,time_ms
49," | Por #MontevideoRock

Se cerrar la circulacin en:

 RAMBLA entre Sarmiento y Tabar
 Desde las 15 h del 12/3 hasta las 22 h del 15/3

 Exhortamos a no estacionar en el circuito del evento https://t.co/ZLPiZa96n4",3-de-15-mts|7-de-12-mts,855.521,659.326
50,"Montevideo y Colonia sern sedes del Campeonato Femenino Sub 17 de la CONMEBOL, que se disputar del 15 de abril al 3 de mayo del 2020.

 Participarn las diez selecciones de las Asociaciones Miembro de la CONMEBOL.

En 2018,  se llev el ttulo tras imponerse a . https://t.co/A9r1ZgWzi4",3-de-15-mts|8-de-17-mts,419.39,906.921
51,"Aqu recordamos el ltimo concierto de la Temporada de Verano de la Orquesta Filarmnica de Montevideo con una multitudinaria concurrencia en la emblemtica Estacin Central, el pasado 20 de febrero junto a Ellas.
@mtopuy @IMcultura https://t.co/vWccF4LFNX",25-de-febrero|20-de-abril,291.81,383.347
52,"El prximo 7 de marzo se inaugurar la plaza Las Pioneras, un espacio de encuentro y gestin colectiva en el barrio Aguada de Montevideo, #Uruguay  https://t.co/Kg7MpeuO1t #8M #8M2020 https://t.co/yMGEDKdGsC",7-de-setiembre|el-encuentro,540.778,724.777
53,"Modal Verbs 
.
@blakeinstitute
Emprendimiento 100 % Venezolano

#montevideo #montevideouruguay #uru #curso #cursodeingles #uruguay #colombianosenuruguay #venezolanosenuruguay @ Montevideo, Uruguay https://t.co/gMfdwR8uuU",montevideo,386.291,197.319
54,"Toque de campana en la Bolsa de Valores de Montevideo por la igualdad de gnero #GeneracinIgualdad
Aqu empec mi carrera profesional y nunca haba visto tantas mujeres en la Bolsa de Valores https://t.co/6clyXiFW77",bolsa-de-valores-(montevideo),286.073,56.803
55,"@Descerebrado17 @jmartinezjorge @MSPUruguay @montevideoIM Todos hablan del Montevideo Rock,ayer estuvo Karol G,Domingo y Lunes Batris Boys,en el estadio Maroon 5,Ricky Martn y no se sabe de nada",domingo-albertos|francisco-martin,407.53,1562.883
56,"Gran gestion la de @Dmartinez_uy seguida de @chdica , gastan mal, no usan lo que invierten y despues lo sacan. Asi cuidan la plata de los Montevideanos. Para cambiar esto en mayo votamos a @lauraraffo para Intendenta! Si, Podemos!",rio-de-la-plata|mal-abrigo,468.13,289.972
57,"Se buscan frentistas q residan en Montevideo,q sean razonables,coherentes,honestos,responsables,comprometidos y con muchas ganas de mejorar su ciudad y su calidad de vida para q presten por nica vez su voto a Laura Raffo.Abstenerse los fanticos y los q tienen vendas en los ojos",montevideo,212.998,178.281
58,"Toque de campana en la Bolsa de Valores de Montevideo por la igualdad de gnero #GeneracinIgualdad
Aqu empec mi carrera profesional y nunca haba visto tantas mujeres en la Bolsa de Valores https://t.co/6clyXiFW77",bolsa-de-valores-(montevideo),286.073,37.628
